id;group_id;user_id;content;post_type;created_at;updated_at;is_pinned
14a3fe6a-3afd-4842-b42f-43e1f5b940bb;22c82bea-b6b0-4dc0-ae72-26b3442322f1;a96eedbb-33b7-419a-819a-afa3b8f61858;我需要禱告;prayer;2026-01-12 16:29:49.051354+00;2026-01-12 16:29:49.051354+00;false
346a98ca-fdc7-4928-8500-31ed24102ff9;22c82bea-b6b0-4dc0-ae72-26b3442322f1;a96eedbb-33b7-419a-819a-afa3b8f61858;我需要禱告，緊急禱告;prayer;2026-01-12 16:31:58.186165+00;2026-01-12 16:31:58.186165+00;false
6f1155f5-a1b7-4c50-ae89-f42fff62e74e;22c82bea-b6b0-4dc0-ae72-26b3442322f1;a96eedbb-33b7-419a-819a-afa3b8f61858;一切都是神的美意;announcement;2026-01-12 16:32:26.16999+00;2026-01-12 16:32:26.16999+00;false
33dcc0b1-7ba2-425b-8644-f004d87126eb;22c82bea-b6b0-4dc0-ae72-26b3442322f1;a96eedbb-33b7-419a-819a-afa3b8f61858;非常重要;announcement;2026-01-12 16:40:48.211043+00;2026-01-12 16:40:48.211043+00;false
