id;user_id;template_id;name;description;start_date;end_date;is_active;created_at;updated_at;group_id
3089fa7f-836d-4e05-9a63-c025c13e7dd2;a96eedbb-33b7-419a-819a-afa3b8f61858;;我的讀經;愛的主題;2026-01-09;2026-02-08;false;2026-01-09 14:56:15.543901+00;2026-01-12 16:50:02.215767+00;
97b459d5-175e-4438-807b-a1173fb99c6b;a96eedbb-33b7-419a-819a-afa3b8f61858;11111111-1111-1111-1111-111111111110;14天認識聖靈;認識聖靈的工作與恩賜;2026-01-09;2026-01-23;false;2026-01-09 15:32:12.174885+00;2026-01-12 16:50:02.215767+00;
8fba6e35-f69c-465f-96e7-5fccf0539cc5;a96eedbb-33b7-419a-819a-afa3b8f61858;11111111-1111-1111-1111-111111111103;30天福音書;30天內讀完四福音書;2026-01-13;2026-02-12;false;2026-01-12 16:45:33.899022+00;2026-01-12 16:50:02.215767+00;
ab53d700-4d78-4eef-bf90-7743d84d686d;a96eedbb-33b7-419a-819a-afa3b8f61858;11111111-1111-1111-1111-111111111103;30天福音書;30天內讀完四福音書;2026-01-13;2026-02-12;true;2026-01-12 16:50:02.514867+00;2026-01-12 16:50:02.514867+00;
