id;room_code;mode;bible_study_session_id;group_number;current_card_id;current_level;used_card_ids;pass_count;status;created_at;updated_at;timer_duration;timer_started_at;timer_running;sharing_mode;shared_member_ids;current_drawer_id;current_drawer_card_id;drawer_order
00216b6d-b73b-453f-b1f5-adc50917ab6f;4J34;standalone;;;;L2;[];0;active;2026-01-27 13:16:56.991843+00;2026-01-27 13:17:03.060931+00;60;;false;false;[];;;[]
dcd3cbb8-8f93-41e3-9aec-aaddcc6f1190;UPJH;standalone;;;;L2;[];1;active;2026-01-27 13:19:01.467853+00;2026-01-27 13:20:06.374883+00;60;;false;false;[];;;[]
eb8fbcec-c8b9-4278-b289-8ee32bd39451;WTA3;session;53f0309e-7cf8-4cfe-99c2-2c958e4bdc80;3;4e39f0f0-1b18-4caf-8f4e-5555286fac50;L1;"[""4e39f0f0-1b18-4caf-8f4e-5555286fac50""]";0;completed;2026-01-28 09:03:59.602316+00;2026-01-28 09:04:18.600798+00;60;;false;false;"[""f0a29762-c160-4f29-bd46-3a71753ca87b""]";8cb328fa-afc0-4586-8cf2-7d89ce635cda;;"[""f0a29762-c160-4f29-bd46-3a71753ca87b"",""8cb328fa-afc0-4586-8cf2-7d89ce635cda""]"
e1b4095e-f5df-42a1-ba74-8049f91a868b;GKWF;standalone;;;3eb31984-6601-4c7d-bef4-b82acd323c2f;L3;"[""cf48618c-fc01-4cc6-9303-2a3a076d32cc"",""3eb31984-6601-4c7d-bef4-b82acd323c2f""]";0;active;2026-01-27 13:36:10.48247+00;2026-01-27 13:36:30.349428+00;60;;false;false;[];;;[]
4c0fe393-7a1e-4bbb-ad44-10b32a33dd20;7JH4;session;577b2379-4fb5-44c6-b261-4b38af38ee1f;2;11061292-17d4-4491-a2ed-c3cc210f6d3d;L1;"[""b2dc5a9a-7908-48dc-b949-2f57ecefbfdd"",""11061292-17d4-4491-a2ed-c3cc210f6d3d""]";0;active;2026-01-28 09:28:20.042447+00;2026-01-28 09:29:07.247015+00;60;;false;false;"[""0f40c177-bca9-45f1-b7d2-ce4f5ee2825d"",""a7c83da4-1315-4474-91e8-eb3ed425d04e""]";;;"[""0f40c177-bca9-45f1-b7d2-ce4f5ee2825d"",""a7c83da4-1315-4474-91e8-eb3ed425d04e""]"
efb2c360-7dbe-4819-af6a-972d60cf6255;QNCQ;session;577b2379-4fb5-44c6-b261-4b38af38ee1f;1;9a21bb92-d59f-4400-8f7f-f8184c56e598;L3;"[""ba3808ac-c4a2-4ffd-8880-c39944573e9a"",""9a21bb92-d59f-4400-8f7f-f8184c56e598""]";0;active;2026-01-28 09:28:18.806418+00;2026-01-28 09:28:55.304587+00;60;;false;false;"[""ca7a0da4-34d3-4b20-8806-8e72e02ba0f5"",""1ab375d9-9da9-48fa-8264-dc5f26ec9117""]";;;"[""ca7a0da4-34d3-4b20-8806-8e72e02ba0f5"",""1ab375d9-9da9-48fa-8264-dc5f26ec9117""]"
794a0092-2ffe-410c-bb6c-85c433f3c6bf;PBYK;session;2275728a-e362-4476-87ed-bcaf577ea1ef;11;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
66601f12-7e07-4f6d-baa7-f13867e9b7c6;5M44;session;2275728a-e362-4476-87ed-bcaf577ea1ef;12;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
242bd873-ff2d-40d0-9107-0aad25490dd4;ALUY;session;2275728a-e362-4476-87ed-bcaf577ea1ef;13;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
33c3defc-c72f-4d54-a7ed-3158ae6c4933;5DK4;session;2275728a-e362-4476-87ed-bcaf577ea1ef;14;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
713d7e7d-7d25-4204-8ac1-7346f62fda62;FQB6;session;2275728a-e362-4476-87ed-bcaf577ea1ef;15;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
